연도,서울,인천,경기,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2013/12,5512,3092,3289,2458,2448,1848,2522,2452,2303,1888,1997,1929,1904,1721,1869,1962,2325
2014/01,5432,3092,3289,2458,2448,2220,2522,2452,2303,1888,1997,1929,1903,1721,1869,1965,2394
2014/02,5432,3154,3270,2751,2448,2306,2522,2452,2282,1888,2003,1933,1802,1721,1889,1970,2394
2014/03,5459,3154,3268,2717,2455,2226,2528,2471,2368,1861,2008,1905,1808,1726,1914,2003,2394
2014/04,5484,3030,3296,2849,2505,2226,2528,2471,2396,1931,2024,1985,1902,1738,1943,2000,2394
2014/05,5893,2983,3226,2879,2507,2280,2528,2471,2404,1924,1999,1997,1911,1714,1942,2003,2394
2014/06,5717,3048,3111,2865,2533,2321,2525,2471,2445,1924,1996,2013,1925,1700,1986,2005,2398
2014/07,5679,3022,3068,2866,2533,2307,2525,2471,2445,1899,1996,2062,1915,1752,1987,2004,2398
2014/08,5841,3022,3071,2852,2536,2310,2525,2574,2467,1899,1996,2095,1950,1723,1989,2002,2398
2014/09,5880,3022,3182,2805,2560,2364,2439,2574,2510,1945,1995,2085,2036,1759,1993,2051,2374
2014/10,5988,3035,3151,2761,2546,2335,2436,2614,2584,2009,1978,2070,1994,1743,2054,2085,2341
2014/11,6134,3036,3138,2790,2557,2349,2445,2694,2604,1929,2038,2103,1995,1748,2085,2159,2341
2014/12,6142,3036,3145,2790,2501,2348,2445,2694,2594,1929,2043,2118,1995,1753,2118,2222,2345
2015/01,6264,3035,3149,2789,2523,2349,2445,2584,2594,1924,2045,2114,1995,1753,2119,2301,2345
2015/02,6264,2993,3138,2798,2550,2350,2445,2584,2594,1924,2045,2115,1995,1768,2107,2299,2345
2015/03,5883,2993,3172,2812,2558,2382,2445,2615,2592,1873,2055,2170,1982,1765,2120,2324,2372
2015/04,5710,3012,3238,2826,2559,2398,2468,2842,2590,2098,2058,2126,1985,1800,2123,2328,2208
2015/05,5566,3197,3238,2832,2596,2387,2507,2785,2590,2075,2062,2114,1987,1833,2111,2338,2208
2015/06,5568,3165,3204,2883,2588,2388,2448,2785,2628,2117,2025,2103,2000,1892,2087,2338,2225
2015/07,5501,3165,3187,2897,2588,2451,2448,2785,2627,2127,2000,2102,2045,1905,2132,2340,2225
2015/08,5589,3166,3204,2903,2665,2494,2448,2792,2635,2124,2001,2104,1994,1906,2132,2323,2225
2015/09,5445,3167,3134,2912,2686,2449,2399,2792,2641,2158,2002,2103,2086,1892,2130,2408,2236
2015/10,5841,3163,3138,3112,2682,2420,2454,3053,2642,2167,2032,2099,2054,1925,2148,2291,2232
2015/11,6050,3184,3098,3131,2749,2424,2454,3043,2648,2171,2004,2100,2057,1909,2190,2298,2232
2015/12,6041,3184,3198,3127,2962,2476,2454,3043,2665,2171,2005,2269,1983,1909,2181,2307,2268
2016/01,6108,3191,3198,3152,3086,2569,2454,3046,2665,2173,2008,2270,1980,1909,2181,2327,2268
2016/02,6111,3192,3219,3154,3064,2569,2454,3046,2665,2173,2008,2272,1980,1923,2179,2358,2268
2016/03,6173,3190,3215,3178,3119,2590,2454,3066,2670,2194,1980,2115,1951,1921,2179,2383,2314
2016/04,6241,3238,3199,3169,3132,2700,2449,3072,2680,2140,1968,2169,1909,1925,2177,2391,2719
2016/05,6264,3179,3443,3148,3132,2722,2465,3077,2680,2117,1980,2166,1945,1927,2176,2381,2691
2016/06,6208,3204,3542,3150,3134,2737,2562,3069,2683,2104,2047,2198,1931,1968,2238,2389,2827
2016/07,6254,3222,3531,3158,3130,2742,2562,3069,2687,2101,2075,2198,1929,1968,2248,2375,2827
2016/08,6285,3235,3561,3185,3147,2726,2562,2976,2694,2098,2124,2235,1929,1966,2238,2384,2878
2016/09,6283,3168,3360,3200,3147,2721,2517,2976,2689,2100,2125,2236,1925,1972,2251,2391,3083
2016/10,6400,3198,3431,3097,3147,2725,3066,3205,2700,2137,2098,2247,1927,1982,2294,2412,3083
2016/11,6370,3151,3546,3083,3109,2775,2685,3260,2702,2071,2125,2277,1928,2056,2294,2359,3107
2016/12,6443,3132,3555,3253,3144,2783,2685,3260,2705,2087,2081,2274,2004,2078,2311,2388,3132
2017/01,6450,3132,3554,3244,3121,2778,2685,3260,2705,2085,2105,2235,2006,2078,2312,2390,3124
2017/02,6464,3167,3607,3243,3158,2778,2721,3263,2705,2090,2044,2236,2009,2093,2307,2384,3134
2017/03,6370,3179,3632,3290,3200,2783,2721,3263,2705,2068,1976,2237,2044,2090,2291,2407,3097
2017/04,6366,3179,3604,3289,3179,2854,2739,3578,2729,2068,2040,2221,2105,2106,2318,2401,3323
2017/05,6400,3291,3474,3549,3179,2890,2739,3578,2729,2084,2050,2222,2130,2165,2363,2418,3459
2017/06,6667,3326,3489,3616,3246,2912,2739,3582,2733,2131,2043,2274,2201,2147,2383,2444,3274
