연도,서울,인천,경기,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2016/01,6108,3191,3198,3152,3086,2569,2454,3046,2665,2173,2008,2270,1980,1909,2181,2327,2268
2016/02,6111,3192,3219,3154,3064,2569,2454,3046,2665,2173,2008,2272,1980,1923,2179,2358,2268
2016/03,6173,3190,3215,3178,3119,2590,2454,3066,2670,2194,1980,2115,1951,1921,2179,2383,2314
2016/04,6241,3238,3199,3169,3132,2700,2449,3072,2680,2140,1968,2169,1909,1925,2177,2391,2719
2016/05,6264,3179,3443,3148,3132,2722,2465,3077,2680,2117,1980,2166,1945,1927,2176,2381,2691
2016/06,6208,3204,3542,3150,3134,2737,2562,3069,2683,2104,2047,2198,1931,1968,2238,2389,2827
2016/07,6254,3222,3531,3158,3130,2742,2562,3069,2687,2101,2075,2198,1929,1968,2248,2375,2827
2016/08,6285,3235,3561,3185,3147,2726,2562,2976,2694,2098,2124,2235,1929,1966,2238,2384,2878
2016/09,6283,3168,3360,3200,3147,2721,2517,2976,2689,2100,2125,2236,1925,1972,2251,2391,3083
2016/10,6400,3198,3431,3097,3147,2725,3066,3205,2700,2137,2098,2247,1927,1982,2294,2412,3083
2016/11,6370,3151,3546,3083,3109,2775,2685,3260,2702,2071,2125,2277,1928,2056,2294,2359,3107
2016/12,6443,3132,3555,3253,3144,2783,2685,3260,2705,2087,2081,2274,2004,2078,2311,2388,3132
